Name|Burmy
Number|412
ExperienceType|1
BaseExperience|45
Type1|Bug
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
IsGenderLess|0
IsMale|50
Ability1|65
Ability2|Nothing
Machines|
BaseHP|40
BaseAttack|29
BaseDefense|45
BaseSpAttack|29
BaseSpDefense|45
BaseSpeed|36
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It covers itself with a cloak to shelter from the cold. When it’s hot, its cloak is thinner.\Bagworm Pokémon\3.4\0.2\0,148,0
Scale|0.7
Move|10,33
Move|1,182
Move|20,237
Move|15,450
