Name|Ditto
Number|132
ExperienceType|1
BaseExperience|101
Type1|Normal
Type2|
CatchRate|35
BaseFriendship|70
EggGroup1|Ditto
EggGroup2|None
BaseEggSteps|5355
EggPokemon|132
IsGenderLess|1
IsMale|0.0
Ability1|7
Ability2|Nothing
Machines|
BaseHP|48
BaseAttack|48
BaseDefense|48
BaseSpAttack|48
BaseSpDefense|48
BaseSpeed|48
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It can transform into anything. When it sleeps, it changes into a stone to avoid being attacked.\Transform Pokémon\4\0.3\0,148,0
Scale|0.7
Move|1,144
Item|50,155
Item|5,35
TradeValue|15
