Main:
{"Level"{LEV[{"Name"{str[Prof. Oak's Lab]}}{"MusicLoop"{str[P_FR_LG Prof. Oak's Research Lab]}}{"WildPokemon"{bool[0]}}{"CurrentRegion"{str[Kanto]}}]}}
{"Actions"{LEV[{"CanTeleport"{bool[1]}}{"CanDig"{bool[0]}}{"CanFly"{bool[0]}}{"RideType"{int[0]}}{"EnviromentType"{int[1]}}{"Weather"{int[1]}}{"IsDark"{bool[0]}}{"IsSafariZone"{bool[0]}}{"MapScript"{str[System/GlobalMain]}}]}}

Floor.Layer.2.Floor.1
{"Floor"{ENT[{"Size"{intArr[13,1]}}{"Position"{intArr[0,0,2]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[320,64,32,32]}}]}}
Floor.Layer.3.Floor.1
{"Floor"{ENT[{"Size"{intArr[1,1]}}{"Position"{intArr[0,0,3]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[352,64,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[12,1]}}{"Position"{intArr[1,0,3]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}
Floor.Layer.4.Floor.1
{"Floor"{ENT[{"Size"{intArr[1,1]}}{"Position"{intArr[0,0,4]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[352,64,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[12,1]}}{"Position"{intArr[1,0,4]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}
Floor.Layer.5.Floor.1
{"Floor"{ENT[{"Size"{intArr[1,1]}}{"Position"{intArr[0,0,5]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[352,64,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[12,1]}}{"Position"{intArr[1,0,5]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}
Floor.Layer.6.Floor.1
{"Floor"{ENT[{"Size"{intArr[1,1]}}{"Position"{intArr[0,0,6]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[352,64,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[12,1]}}{"Position"{intArr[1,0,6]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}
Floor.Layer.7.Floor.1
{"Floor"{ENT[{"Size"{intArr[1,1]}}{"Position"{intArr[0,0,7]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[352,64,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[12,1]}}{"Position"{intArr[1,0,7]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}
Floor.Layer.8.Floor.1
{"Floor"{ENT[{"Size"{intArr[1,1]}}{"Position"{intArr[0,0,8]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[352,64,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[12,1]}}{"Position"{intArr[1,0,8]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}
Floor.Layer.9.Floor.1
{"Floor"{ENT[{"Size"{intArr[5,1]}}{"Position"{intArr[0,0,9]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[320,64,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[3,1]}}{"Position"{intArr[5,0,9]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[5,1]}}{"Position"{intArr[8,0,9]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[320,64,32,32]}}]}}
Floor.Layer.10.Floor.1
{"Floor"{ENT[{"Size"{intArr[1,1]}}{"Position"{intArr[0,0,10]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[352,64,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[12,1]}}{"Position"{intArr[1,0,10]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}
Floor.Layer.11.Floor.1
{"Floor"{ENT[{"Size"{intArr[1,1]}}{"Position"{intArr[0,0,11]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[352,64,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[12,1]}}{"Position"{intArr[1,0,11]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}
Floor.Layer.12.Floor.1
{"Floor"{ENT[{"Size"{intArr[1,1]}}{"Position"{intArr[0,0,12]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[352,64,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[5,1]}}{"Position"{intArr[1,0,12]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[1,1]}}{"Position"{intArr[6,0,12]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[64,0,32,32]}}]}}
{"Floor"{ENT[{"Size"{intArr[6,1]}}{"Position"{intArr[7,0,12]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}
Floor.Layer.13.Floor.1
{"Floor"{ENT[{"Size"{intArr[1,1]}}{"Position"{intArr[6,0,13]}}{"TexturePath"{str[8\Building Floor]}}{"Texture"{rec[288,32,32,32]}}]}}

Wall.Layer.1.Floor.1
{"EntityField"{ENT[{"EntityID"{str[WallBlock]}}{"Size"{intArr[13,1]}}{"Position"{sngArr[0,0,1]}}{"TexturePath"{str[8\Building Wall]}}{"Textures"{recArr[[608,64,32,32]]}}{"TextureIndex"{intArr[0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]}}{"Collision"{bool[1]}}{"ModelID"{int[12]}}]}}
Wall.Layer.1.Floor.2
{"EntityField"{ENT[{"EntityID"{str[WallBlock]}}{"Size"{intArr[13,1]}}{"Position"{sngArr[0,1,1]}}{"TexturePath"{str[8\Building Wall]}}{"Textures"{recArr[[608,32,32,32]]}}{"TextureIndex"{intArr[0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1]}}{"Collision"{bool[1]}}{"ModelID"{int[12]}}]}}
Wall.Layer.2.Floor.1
{"EntityField"{ENT[{"EntityID"{str[WallBlock]}}{"Size"{intArr[1,1]}}{"Position"{sngArr[-1,0,2]}}{"TexturePath"{str[8\Building Wall]}}{"Textures"{recArr[[608,64,32,32]]}}{"TextureIndex"{intArr[-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1]}}{"Collision"{bool[1]}}{"ModelID"{int[12]}}]}}
{"EntityField"{ENT[{"EntityID"{str[WallBlock]}}{"Size"{intArr[1,1]}}{"Position"{sngArr[13,0,2]}}{"TexturePath"{str[8\Building Wall]}}{"Textures"{recArr[[608,64,32,32]]}}{"TextureIndex"{intArr[-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1]}}{"Collision"{bool[1]}}{"ModelID"{int[12]}}]}}
Wall.Layer.2.Floor.2
{"EntityField"{ENT[{"EntityID"{str[WallBlock]}}{"Size"{intArr[1,1]}}{"Position"{sngArr[-1,1,2]}}{"TexturePath"{str[8\Building Wall]}}{"Textures"{recArr[[608,32,32,32]]}}{"TextureIndex"{intArr[-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1]}}{"Collision"{bool[1]}}{"ModelID"{int[12]}}]}}
{"EntityField"{ENT[{"EntityID"{str[WallBlock]}}{"Size"{intArr[1,1]}}{"Position"{sngArr[13,1,2]}}{"TexturePath"{str[8\Building Wall]}}{"Textures"{recArr[[608,32,32,32]]}}{"TextureIndex"{intArr[-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1]}}{"Collision"{bool[1]}}{"ModelID"{int[12]}}]}}
Wall.Layer.3.Floor.1
{"EntityField"{ENT[{"EntityID"{str[WallBlock]}}{"Size"{intArr[1,1]}}{"Position"{sngArr[-1,0,3]}}{"TexturePath"{str[8\Building Wall]}}{"Textures"{recArr[[608,64,32,32]]}}{"TextureIndex"{intArr[-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1]}}{"Collision"{bool[1]}}{"ModelID"{int[12]}}]}}
{"EntityField"{ENT[{"EntityID"{str[WallBlock]}}{"Size"{intArr[1,1]}}{"Position"{sngArr[13,0,3]}}{"TexturePath"{str[8\Building Wall]}}{"Textures"{recArr[[608,64,32,32]]}}{"TextureIndex"{intArr[-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1]}}{"Collision"{bool[1]}}{"ModelID"{int[12]}}]}}
Wall.Layer.3.Floor.2
{"EntityField"{ENT[{"EntityID"{str[WallBlock]}}{"Size"{intArr[1,1]}}{"Position"{sngArr[-1,1,3]}}{"TexturePath"{str[8\Building Wall]}}{"Textures"{recArr[[608,32,32,32]]}}{"TextureIndex"{intArr[-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1]}}{"Collision"{bool[1]}}{"ModelID"{int[12]}}]}}
{"EntityField"{ENT[{"EntityID"{str[WallBlock]}}{"Size"{intArr[1,1]}}{"Position"{sngArr[13,1,3]}}{"TexturePath"{str[8\Building Wall]}}{"Textures"{recArr[[608,32,32,32]]}}{"TextureIndex"{intArr[-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1]}}{"Collision"{bool[1]}}{"ModelID"{int[12]}}]}}
Wall.Layer.4.Floor.1
{"EntityField"{ENT[{"EntityID"{str[WallBlock]}}{"Size"{intArr[1,1]}}{"Position"{sngArr[-1,0,4]}}{"TexturePath"{str[8\Building Wall]}}{"Textures"{recArr[[608,64,32,32]]}}{"TextureIndex"{intArr[-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1]}}{"Collision"{bool[1]}}{"ModelID"{int[12]}}]}}
