BarkTown.PlayerRoom.1.dat|1,0.1,3

cherrygrove_center.dat|7,0.1,3
violet_center.dat|7,0.1,3
route32_center.dat|7,0.1,3
azalea\center.dat|7,0.1,3
goldenrod\center.dat|7,0.1,3
ecruteak\center.dat|7,0.1,4
olivine\center.dat|7,0.1,3
cianwood\center.dat|7,0.1,3
mahogany\center.dat|7,0.1,3
blackthorn\center.dat|7,0.1,3
indigo\inside.dat|7,0.1,3
safarizone\center.dat|7,0.1,3
twirl forest\main.dat|10,1.1,7
vermilion\center.dat|7,0.1,3
cerulean\center.dat|7,0.1,3
routes\route10\center.dat|7,0.1,3
lavender\center.dat|7,0.1,3
pewter\center.dat|7,0.1,3
viridian\center.dat|7,0.1,3
chrono\center.dat|7,0.1,3
floe\center.dat|7,0.1,3
saffron\center.dat|7,0.1,3
celadon\center.dat|7,0.1,3
fuschia\center.dat|7,0.1,3
cinnabar\center.dat|7,0.1,3
