Cities:
{"PlaceType"[City]}{"Name"[Pallet Town]}{"MapFiles"[]}{"Position"[14,12]}{"Size"[Small]}
{"PlaceType"[City]}{"Name"[Viridian City]}{"MapFiles"[viridian\main.dat,viridian\1.dat,viridian\center.dat,viridian\mart.dat,viridian\trainerhouse\main.dat,viridian\trainerhouse\bf1.dat,viridian\arena.dat]}{"Position"[13,8]}{"Size"[Big]}{"FlyTo"[viridian\main.dat,23,12,26]}
{"PlaceType"[City]}{"Name"[Pewter City]}{"MapFiles"[pewter\main.dat,pewter\center.dat,pewter\mart.dat,pewter\museum.dat,pewter\1.dat,pewter\2.dat,gyms\pewter_gym.dat]}{"Position"[14,3]}{"Size"[Big]}{"FlyTo"[pewter\main.dat,13,12,26]}
{"PlaceType"[City]}{"Name"[Cerulean City]}{"MapFiles"[cerulean\main.dat,cerulean\center.dat,cerulean\mart.dat,cerulean\1.dat,cerulean\2.dat,cerulean\3.dat,gyms\cerulean_gym.dat]}{"Position"[22,4]}{"Size"[Big]}{"FlyTo"[cerulean\main.dat,19,12,22]}
{"PlaceType"[City]}{"Name"[Saffron City]}{"MapFiles"[]}{"Position"[22,7]}{"Size"[Big]}
{"PlaceType"[City]}{"Name"[Vermilion City]}{"MapFiles"[vermilion\main.dat,vermilion\center.dat,vermilion\mart.dat,vermilion\1.dat,vermilion\2.dat,vermilion\3.dat,vermilion\dock.dat,vermilion\dock_entrance.dat,vermilion\fan.dat,gyms\vermilion_gym.dat]}{"Position"[22,10]}{"Size"[Big]}{"FlyTo"[vermilion\main.dat,9,12,6]}
{"PlaceType"[City]}{"Name"[Celadon City]}{"MapFiles"[]}{"Position"[19,8]}{"Size"[Big]}
{"PlaceType"[City]}{"Name"[Fuchsia City]}{"MapFiles"[]}{"Position"[19,13]}{"Size"[Big]}
{"PlaceType"[City]}{"Name"[Cinnabar Island]}{"MapFiles"[]}{"Position"[14,16]}{"Size"[Small]}
{"PlaceType"[City]}{"Name"[Lavender Town]}{"MapFiles"[lavender\main.dat,lavender\mart.dat,lavender\center.dat,lavender\radio.dat,lavender\cemetary.dat,lavender\1.dat,lavender\2.dat,lavender\3.dat]}{"Position"[26,8]}{"Size"[Small]}{"FlyTo"[lavender\main.dat,7,12,6]}
{"PlaceType"[City]}{"Name"[New Bark Town]}{"MapFiles"[barktown.dat,barktown0.dat,yourroom.dat,elmlab.dat,barktown\0.dat,barktown\1.dat]}{"Position"[3,13]}{"Size"[Small]}{"FlyTo"[barktown.dat,19,12,12]}
