Cities:
{"PlaceType"[City]}{"Name"[One Island]}{"MapFiles"[]}{"Position"[2,8]}{"Size"[Small]}
{"PlaceType"[City]}{"Name"[Two Island]}{"MapFiles"[]}{"Position"[8,9]}{"Size"[Small]}
{"PlaceType"[City]}{"Name"[Three Island]}{"MapFiles"[]}{"Position"[15,11]}{"Size"[Vertical]}
{"PlaceType"[City]}{"Name"[Four Island]}{"MapFiles"[]}{"Position"[15,5]}{"Size"[Small]}
{"PlaceType"[City]}{"Name"[Five Island]}{"MapFiles"[]}{"Position"[22,4]}{"Size"[Small]}
{"PlaceType"[City]}{"Name"[Six Island]}{"MapFiles"[]}{"Position"[26,13]}{"Size"[Small]}
{"PlaceType"[City]}{"Name"[Seven Island]}{"MapFiles"[]}{"Position"[19,11]}{"Size"[Small]}

Routes:
{"PlaceType"[Route]}{"Name"[Kindle Road]}{"MapFiles"[]}{"Position"[2,8]}{"Direction"[HorizontalConnection]}{"RouteType"[Water]}
{"PlaceType"[Route]}{"Name"[Kindle Road]}{"MapFiles"[]}{"Position"[3,8]}{"Direction"[CurveUpLeft]}{"RouteType"[Water]}
{"PlaceType"[Route]}{"Name"[Kindle Road]}{"MapFiles"[]}{"Position"[3,7]}{"Direction"[Vertical]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Kindle Road]}{"MapFiles"[]}{"Position"[3,6]}{"Direction"[Vertical]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Kindle Road]}{"MapFiles"[]}{"Position"[3,5]}{"Direction"[Vertical]}{"RouteType"[Water]}
{"PlaceType"[Route]}{"Name"[Kindle Road]}{"MapFiles"[]}{"Position"[3,4]}{"Direction"[VerticalEndUp]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Treasure Beach]}{"MapFiles"[]}{"Position"[2,9]}{"Direction"[Vertical]}{"RouteType"[Water]}
{"PlaceType"[Route]}{"Name"[Treasure Beach]}{"MapFiles"[]}{"Position"[2,9]}{"Direction"[VerticalConnection]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Treasure Beach]}{"MapFiles"[]}{"Position"[2,10]}{"Direction"[VerticalEndDown]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Cape Brink]}{"MapFiles"[]}{"Position"[8,8]}{"Direction"[VerticalConnection]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Cape Brink]}{"MapFiles"[]}{"Position"[8,8]}{"Direction"[VerticalEndUp]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Three Isle Port]}{"MapFiles"[]}{"Position"[15,13]}{"Direction"[HorizontalConnection]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Three Isle Port]}{"MapFiles"[]}{"Position"[15,12]}{"Direction"[VerticalConnection]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Three Isle Port]}{"MapFiles"[]}{"Position"[15,13]}{"Direction"[CurveUpRight]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Three Isle Port]}{"MapFiles"[]}{"Position"[16,13]}{"Direction"[HorizontalEndRight]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Bond Bridge]}{"MapFiles"[]}{"Position"[14,11]}{"Direction"[Horizontal]}{"RouteType"[Land]}
{"PlaceType"[Route]}{"Name"[Bond Bridge]}{"MapFiles"[]}{"Position"[13,11]}{"Direction"[Horizontal]}{"RouteType"[Water]}
{"PlaceType"[Route]}{"Name"[Bond Bridge]}{"MapFiles"[]}{"Position"[12,11]}{"Direction"[HorizontalEndLeft]}{"RouteType"[Land]}

{"PlaceType"[Route]}{"Name"[Five Isle Meadow]}{"MapFiles"[]}{"Position"[22,4]}{"Direction"[HorizontalConnection]}{"RouteType"[Land]}
