#################################################
# Custom Move Example - by jianmingyong         #
#################################################
# This is an example move for a GameMode.
# The default GameMode cannot load additional moves, however all other GameModes can.
# The move ID must be set and must be above 999, it also is not allowed to interfer with an already existing move ID.
# If no properties are set, the move will come out as the default Pound move. If only the name property gets changed for example, the move will still be the Pound move, but with a different name.
# To build your own move for your GameMode, create a new file with the .dat file extension in the Content\Data\Moves folder.
#
# In this example, I am going to follow the exact same format for the hard coded moves to make things easy.
ID|1000
PP|999
Power|100
#. BasePower|100
Accuracy|0
#. Acc|0
Type|Shadow
Category|Physical
ContestCategory|Cool
Name|TheUltimateDerpV2
Description|The Pokémon derps around to the max. Nothing can stop it now. Not even a cookie.
CriticalChance|0
#. Critical|0
IsHMMove|False
#. HMMove|False
Priority|10
TimesToAttack|1
#. TTA|1
MakesContact|False
#. Contact|False
ProtectAffected|False
MagicCoatAffected|False
SnatchAffected|False
MirrorMoveAffected|False
KingsrockAffected|False
CounterAffected|False
DisabledWhileGravity|False
#. DisabledDuringGravity|False
UseEffectiveness|True
IsHealingMove|False
RemovesFrozen|True
IsRecoilMove|False
IsPunchingMove|False
ImmunityAffected|False
IsDamagingMove|True
IsProtectMove|False
IsSoundMove|False
IsAffectedBySubstitute|False
IsOneHitKOMove|True
IsWonderGuardAffected|False
UseAccEvasion|False
CanHitInMidAir|True
CanHitUnderground|True
CanHitUnderwater|True
CanHitSleeping|True
CanGainStab|False
IsPowderMove|False
IsTrappingMove|False
IsPulsemove|False
IsBulletMove|False
ISJawMove|False
UseOppDefense|False
UseOppEvasion|False
Function|
